PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-2.9449016049588974,-0.45274678953483066,0.30069061613295567,0.8242444969108269,0.6290204899832885,-0.34430195747999065,-0.03281161257146974,0.6353514288358169,-0.25338130301056955,0.2333504263173915
-2.360406870131379,-0.7958615157047665,0.2487355076998562,0.9615090911804611,0.2854204070572745,-0.02214259341509315,0.3030580454457449,0.6482886785884334,-0.06138527466372157,-0.22104090720354794
-2.979360340312343,-0.5495913242590886,0.29012717390200554,0.6039676080770336,-1.1002579219357742,-0.45761707377542726,-0.23081067397742858,0.10665192801959184,0.14859898037047978,0.275155444718275
-3.384948291890708,-0.8417566113827933,0.3051240180664725,-0.4045725034846013,-0.0522685102048011,0.1267058841878684,0.11225167050007007,-1.1278796725137512,-0.3295232980287964,0.6933014065695009
-2.4227081710014158,-0.3775984736359547,0.28961683584237397,-0.7161127424732097,0.36013705184104483,0.07290668717033054,0.4944921972858898,0.22309656389653995,0.1666391810725363,0.08892394478546904
-3.6605314406797604,-0.5064283965315696,0.34488714126604786,0.09923274088827606,-0.29907698451107917,-0.4056267098645039,-0.20915826131045176,0.03269840913380878,0.3207798924042594,0.2738710984652981
-3.162794151861315,-0.08625294917861358,0.3089731564365204,1.054236432348863,-0.014132958499512963,0.9288517873324161,-0.396064028042933,-0.05109012743977053,0.10767897244668416,-0.04796787376440794
-3.3331205586613595,-0.7324641882782175,0.31517465239523984,-0.3340716910004921,-0.8268158380036579,0.09010153789554029,-0.5182498642068364,-0.30991934510003466,0.4481383635153718,-0.5804154651360866
-3.2315175472969404,-0.9851875484254368,0.2743923630422333,1.036174523294229,0.42434470269634794,0.380937923436918,-0.1856110398364707,-0.4686656377166637,-0.6649633385165562,-0.5878916455003533
-2.8534375712984295,-0.6546152394888036,0.2863056268744739,0.9227908038130137,1.330979304386837,-0.3713821163623082,0.7554438329774048,0.5698409255892415,-0.06957778462594491,-0.4583505273483269
-3.266225455830279,-0.28506837446796196,0.34753834145072604,-0.5880859233641124,-0.02170387312660576,-0.03736418043585804,0.8513136662812308,0.6954433015967331,0.17309720178569402,0.2748325263614503
